,session_no,Member_name,Days_attended
671,220,v.p. singh badnore,  18
672,220,raghunandan sharma,  22
673,220,kusum rai,  23
674,220,rudra narayan pany,  22
675,220,kumar deepak das,  26
676,220,anil kumar sahani,  13
677,220,a. elavarasan,  19
678,220,bharatkumar raut,  25
679,220,naresh gujral,  26
680,220,lalhming liana,  25
681,220,surendra motilal patel,  22
682,220,piyush goyal,  24
683,220,anil madhav dave,  24
684,220,kaptan singh solanki,  23
685,220,shashi bhusan behera,  22
686,220,baishnab parida,  26
687,220,ranbir singh parjapati,  11
688,220,y. s. chowdary,  26
689,220,gundu sudharani,  19
690,220,k.v. ramalingam,  22
691,220,ram chandra prasad singh,  17
692,220,kanwar deep singh,  23
693,220,bimla kashyap sood,  22
694,220,arun jaitley,  LOP
695,220,k. rahman khan, HDC
696,220,maya singh,  25
697,220,bhagat singh koshyari, 23
698,220,rajiv pratap rudy,  24
699,220,ramdas agarwal,  14
700,220,chandan mitra,  21
701,220,vijaykumar rupani,  16
702,220,prakash javadekar,  23
703,220,om prakash mathur,  20
704,220,avinash rai khanna,  25
705,220,k.b. shanappa, 24
706,220,shreegopal vyas, 26
707,220,aayanur manjunatha, 18
708,220,tarun vijay, 24
709,220,kanjibhai patel,  24
710,220,narayan singh kesari,  22
711,220,pravin naik,  25
712,220,gyan prakash pilania,  7
713,220,jai prakash narayan singh, 12
714,220,natuji halaji thakor,  16
715,220,bharatsinh prabhatsinh parmar,  15
716,220,,
717,241,arun jaitley,  M
718,241,manohar parrikar,  M
719,241,mukhtar abbas naqvi, M
720,241,nirmala sitharaman, M
721,241,dharmendra pradhan,  M
722,241,anil madhav dave,  M
723,241,parshottam rupala,  M
724,241,mansukh mandaviya,  M
725,241,vinay katiyar,  15
726,241,bhupender yadav,  21
727,241,prabhakar kore, 14
728,241,meghraj jain,  19
729,241,ram narain dudi,  18
730,241,narayan lal panchariya,  21
731,241,chunibhai kanjibhai gohel,  20
732,241,mahant shambhuprasadji tundiya,  21
733,241,lal sinh vadodia,  21
734,241,shwait malik,  19
735,241,ramkumar verma,  21
736,241,ram vichar netam, 21
737,241,mahesh poddar, 21
738,241,roopa ganguly,18
739,241,m. venkaiah naidu,  M
740,241,ravi shankar prasad,  M
741,241,thaawarchand gehlot,  M
742,241,suresh prabhu,  M
743,241,jagat prakash nadda,  M
744,241,prakash javadekar,  M
745,241,chaudhary birender singh,  M
746,241,piyush goyal,  M
747,241,smriti zubin irani,  M
748,241,vijay goel,  M
749,241,m. j. akbar,  M
750,241,ramdas athawale,  M
751,241,sardar sukhdev singh dhindsa,  9
752,241,y. s. chowdary,  M
753,241,sanjay raut,  10
754,241,om prakash mathur,  11
755,241,c.p. thakur,  21
756,241,satyanarayan jatiya,  21
757,241,sardar balwinder singh bhunder,  6
758,241,naresh gujral,  21
759,241,rajkumar dhoot,  10
760,241,basawaraj patil, 19
761,241,dilipbhai pandya,  21
762,241,bhushan lal jangde, 19
763,241,subramanian swamy,21
764,241,ajay sancheti,  17
765,241,rajeev chandrasekhar, 20
766,241,parimal nathwani,  5
767,241,t. rathinavel,  12
768,241,la. ganesan,  18
769,241,rangasayee ramakrishna, 21
770,241,shankarbhai n. vegad,  21
771,241,suresh gopi,16
772,241,gopal narayan singh,  17
773,241,vinay p. sahasrabuddhe,  20
774,241,ranvijay singh judev, 21
775,241,anil desai,  12
776,241,biswajit daimary,  11
777,241,sasikala pushpa ramaswamy,  12
778,241,r. k. sinha,  16
779,241,shamsher singh manhas,  20
780,241,amar shankar sable,  21
781,241,shiv pratap shukla,  17
782,241,vikas mahatme,  16
783,241,harshvardhan singh dungarpur,  16
784,241,nazir ahmed laway,  14
785,241,mir mohammad fayaz,  17
786,241,subhash chandra,  14
787,241,sanjay dattatraya kakade,  1
788,241,hishey lachungpa,  7
789,241,a. navaneethakrishnan,  13
790,241,dilip kumar tirkey,  9
791,241,derek o' brien,  21
792,241,sharad pawar,  17
793,241,sukhendu sekhar ray,  18
794,241,s.r. balasubramoniyan,  14
795,241,c.m. ramesh,  17
796,241,praful patel,  13
797,241,devender goud t.,  18
798,241,vijila sathyananth,  13
799,241,a.u. singh deo,  18
800,241,tiruchi siva,  20
801,241,mukul roy,  12
802,241,kanwar deep singh,  21
803,241,mahendra prasad,  19
804,241,a. k. selvaraj,  13
805,241,a. vijayakumar,  13
806,241,v. maitreyan,  12
807,241,sarojini hembram,  11
808,241,anubhav mohanty,  21
809,241,d.p. tripathi,  21
810,241,md. nadimul haque,  19
811,241,r. vaithilingam,  6
812,241,anu aga,17
813,241,rekha,1
814,241,m.c. mary kom,16
815,241,k. parasaran,17
816,241,k.t.s. tulsi, 18
817,241,sachin ramesh tendulkar,2
818,241,d. bandyopadhyay,  20
819,241,thota seetharama lakshmi,  15
820,241,n. gokulakrishnan, 8
821,241,k. r. arjunan,  13
822,241,narendra kumar swain,  15
823,241,prasanna acharya,  13
824,241,narendra jadhav,16
825,241,swapan dasgupta,19
826,241,sambhaji chhatrapati,20
827,241,ahamed hassan,  15
828,241,jogen chowdhury,  13
829,241,t.g. venkatesh,  15
830,241,garikapati mohan rao,  8
831,241,s. muthukaruppan,  13
832,241,r. lakshmanan,  13
833,241,a.v. swamy,  19
834,241,bishnu charan das,  8
835,241,bhaskar rao nekkanti,  12
836,241,dola sen,  15
837,241,vivek gupta,  20
838,241,sitaram yechury,  17
839,241,ram gopal yadav,  15
840,241,sharad yadav,  17
841,241,km. mayawati,  19
842,241,kanimozhi,  10
843,241,naresh agrawal,  19
844,241,tapan kumar sen,  17
845,241,ali anwar ansari,  17
846,241,satish chandra misra,  20
847,241,t.k. rangarajan,  17
848,241,amar singh,  15
849,241,rewati raman singh,  21
850,241,beni prasad verma,  21
851,241,anil kumar sahani,  18
852,241,veer singh,  20
853,241,jaya bachchan,  21
854,241,kiranmay nanda,  19
855,241,javed ali khan,  18
856,241,jharna das baidya,  19
857,241,bashistha narain singh,  19
858,241,d. raja,  17
859,241,prem chand gupta,  20
860,241,ram nath thakur,  20
861,241,ram chandra prasad singh,  16
862,241,c.p. narayanan,  20
863,241,vishambhar prasad nishad,  21
864,241,darshan singh yadav,  19
865,241,tazeen fatma,  21
866,241,munquad ali,  17
867,241,chaudhary munvvar saleem,  13
868,241,m.p. veerendra kumar,  13
869,241,kahkashan perween,  21
870,241,harivansh,  21
871,241,majeed memon,  19
872,241,ritabrata banerjee,  21
873,241,alok tiwari,  20
874,241,chandrapal singh yadav,  10
875,241,ravi prakash verma,  16
876,241,neeraj shekhar,  20
877,241,rajaram,  20
878,241,vandana chavan,  8
879,241,k.k. ragesh,  20
880,241,k. somaprasad,  21
881,241,ram kumar kashyap,  21
882,241,d. kupendra reddy, 16
883,241,k.g. kenye,  13
884,241,v. vijayasai reddy,  20
885,241,sanjay seth,  18
886,241,surendra singh nagar,  17
887,241,ch. sukhram singh yadav,  21
888,241,anand sharma,  18
889,241,a.k. antony,  21
890,241,karan singh,  19
891,241,manmohan singh,  19
892,241,ahmed patel,  19
893,241,digvijaya singh,  19
894,241,k. rahman khan, 17
895,241,janardan dwivedi,  21
896,241,motilal vora, 21
897,241,t. subbarami reddy,  19
898,241,oscar fernandes, 19
899,241,raj babbar, 18
900,241,jairam ramesh, 21
901,241,kumari selja,  19
902,241,rajeev shukla,  16
903,241,bhubaneswar kalita,  17
904,241,narendra budania,  21
905,241,p.l. punia,  15
906,241,madhusudan mistry,  19
907,241,shamsher singh dullo,  20
908,241,ranee narah,  7
909,241,k. keshava rao,  15
910,241,abdul wahab,  11
911,241,vivek k. tankha,  18
912,241,shadi lal batra,  21
913,241,parvez hashmi,  21
914,241,k.v.p. ramachandra rao,  19
915,241,mohd. ali khan,  21
916,241,sanjay sinh,  20
917,241,ram jethmalani,  18
918,241,sanjiv kumar, 20
919,241,t.k.s. elangovan,  21
920,241,k.c. ramamurthy, 20
921,241,viplove thakur,  21
922,241,ananda bhaskar rapolu,  21
923,241,p. bhattacharya,  16
924,241,shantaram naik, 20
925,241,ranjib biswal,  14
926,241,husain dalwai,  16
927,241,misha bharti,  15
928,241,ashok siddharth,  20
929,241,dharmapuri srinivas,  17
930,241,v. lakshmikantha rao,  13
931,241,joy abraham,  17
932,241,r.s. bharathi,  21
933,241,ronald sapa tlau,  17
934,241,palvai govardhan reddy,  18
935,241,santiuse kujur,  21
936,241,haji abdul salam,  21
937,241,m.v. rajeev gowda, 21
938,241,ghulam nabi azad,  LOP
939,241,p.j. kurien,  HDC
940,241,satyavrat chaturvedi,  19
941,241,ambika soni,  21
942,241,p. chidambaram,  10
943,241,pramod tiwari,  19
944,241,vayalar ravi,  21
945,241,abhishek manu singhvi,  11
946,241,renuka chowdhury,  15
947,241,mukut mithi,  19
948,241,kapil sibal,  14
949,241,b.k. hariprasad, 20
950,241,partap singh bajwa,  21
951,241,pradeep tamta, 21
952,241,chhaya verma, 21
953,241,rajani ashokrao patil,  15
954,241,wansuk syiem, 19
955,241,ripun bora,  16
956,241,pradeep kumar balmuchu, 17
957,241,mahendra singh mahra, 21
958,241,,
959,233,amar singh,  1
960,233,akhilesh das gupta,  1
961,233,veer singh,  22
962,233,avtar singh karimpuri,  1
963,233,kusum rai,  1
964,233,brajesh pathak,  1
965,233,rajaram,  20
966,233,mohammed adeeb,  1
967,233,m.p. achuthan,  21
968,233,anil kumar sahani,  21
969,233,suresh prabhu,  M
970,233,arun jaitley,  M
971,233,manohar parrikar,  M
972,233,manohar parrikar,  4
973,233,mukhtar abbas naqvi, M
974,233,nirmala sitharaman, M
975,233,chaudhary birender singh,  M
976,233,avinash rai khanna,  8
977,233,vinay katiyar,  22
978,233,prabhat jha,  21
979,233,anil madhav dave,  19
980,233,chandan mitra,  22
981,233,nand kumar sai, 16
982,233,tarun vijay, 22
983,233,aayanur manjunatha, 21
984,233,prabhakar kore, 19
985,233,shankarbhai n. vegad,  22
986,233,meghraj jain,  22
987,233,ajay sancheti,  13
988,233,ranvijay singh judev, 21
989,233,chunibhai kanjibhai gohel,  21
990,233,mahant shambhuprasadji tundiya,  3
991,233,lal sinh vadodia,  17
992,233,ram narain dudi,  19
993,233,m. venkaiah naidu,  M
994,233,ravi shankar prasad,  M
995,233,thaawarchand gehlot,  M
996,233,najma a. heptulla,  M
997,233,jagat prakash nadda,  M
998,233,dharmendra pradhan,  M
999,233,piyush goyal,  M
1000,233,suresh prabhu,  M
1001,233,smriti zubin irani,  M
1002,233,prakash javadekar,  M
1003,233,satyanarayan jatiya,  22
1004,233,v.p. singh badnore,  21
1005,233,sardar sukhdev singh dhindsa,  16
1006,233,y. s. chowdary,  M
1007,233,sanjay raut,  18
1008,233,c.p. thakur,  21
1009,233,vijay goel,  22
1010,233,bimla kashyap sood,  22
1011,233,c.m. ramesh,  16
1012,233,sardar balwinder singh bhunder,  20
1013,233,naresh gujral,  22
1014,233,rajkumar dhoot,  12
1015,233,bhupender yadav,  5
1016,233,dilipbhai pandya,  22
1017,233,bhushan lal jangde, 18
1018,233,ramdas athawale,  13
1019,233,parimal nathwani,  7
1020,233,rajeev chandrasekhar, 19
1021,233,k. r. arjunan,  22
1022,233,a. k. selvaraj,  21
1023,233,basawaraj patil, 22
1024,233,rangasayee ramakrishna, 22
1025,233,mansukh mandaviya,  14
1026,233,narayan lal panchariya,  18
1027,233,anil desai,  13
1028,233,thota seetharama lakshmi,  16
1029,233,gundu sudharani,  20
1030,233,paul manoj pandian,  22
1031,233,vijila sathyananth,  22
1032,233,v. maitreyan,  22
1033,233,r. k. sinha,  18
1034,233,ram kumar kashyap,  21
1035,233,garikapati mohan rao,  17
1036,233,d. kupendra reddy, 14
1037,233,a. w. rabi bernard,  15
1038,233,hishey lachungpa,  15
1039,233,a.v. swamy,  22
1040,233,a. navaneethakrishnan,  20
1041,233,dilip kumar tirkey,  21
1042,233,mukul roy,  15
1043,233,sharad pawar,  5
1044,233,sukhendu sekhar ray,  20
1045,233,s. muthukaruppan,  17
1046,233,devender goud t.,  19
1047,233,praful patel,  12
1048,233,kanimozhi,  15
1049,233,sasikala pushpa ramaswamy,  20
1050,233,kalpataru das,  21
1051,233,tiruchi siva,  20
1052,233,derek o' brien,  22
1053,233,mahendra prasad,  20
1054,233,t. rathinavel,  22
1055,233,r. lakshmanan,  17
1056,233,baishnab parida,  20
1057,233,k.p. ramalingam,  22
1058,233,d.p. tripathi,  22
1059,233,k.c. tyagi,  22
1060,233,kanwar deep singh,  22
1061,233,h.k. dua,19
1062,233,anu aga,21
1063,233,rekha,1
1064,233,ashok s. ganguly,21
1065,233,javed akhtar,14
1066,233,b. jayashree,16
1067,233,sachin ramesh tendulkar,3
1068,233,vijay mallya, 7
1069,233,ram jethmalani,  10
1070,233,a.u. singh deo,  14
1071,233,khekiho zhimomi,  5
1072,233,majeed memon,  19
1073,233,k.t.s. tulsi, 19
1074,233,k. parasaran,18
1075,233,mrinal miri,20
1076,233,d. bandyopadhyay,  21
1077,233,jogen chowdhury,  13
1078,233,sarojini hembram,  16
1079,233,anubhav mohanty,  17
1080,233,bhupinder singh,  20
1081,233,sanjay dattatraya kakade,  6
1082,233,vandana chavan,  18
1083,233,ishwarlal shankarlal jain,  15
1084,233,s. thangavelu,  13
1085,233,ahamed hassan,  19
1086,233,vivek gupta,  15
1087,233,md. nadimul haque,  21
1088,233,sitaram yechury,  21
1089,233,ram gopal yadav,  21
1090,233,sharad yadav,  19
1091,233,km. mayawati,  22
1092,233,p. rajeeve,  21
1093,233,naresh agrawal,  22
1094,233,ali anwar ansari,  18
1095,233,d. raja,  21
1096,233,satish chandra misra,  19
1097,233,tapan kumar sen,  21
1098,233,kiranmay nanda,  21
1099,233,javed ali khan,  18
1100,233,anil kumar sahani,  21
1101,233,ambeth rajan,  22
1102,233,veer singh,  22
1103,233,t.k. rangarajan,  21
1104,233,bashistha narain singh,  13
1105,233,jaya bachchan,  21
1106,233,kanak lata singh,  22
1107,233,tazeen fatma,  20
1108,233,narendra kumar kashyap,  3
1109,233,prem chand gupta,  17
1110,233,ram nath thakur,  21
1111,233,ram chandra prasad singh,  19
1112,233,k.n. balagopal,  20
1113,233,jharna das baidya,  19
1114,233,darshan singh yadav,  22
1115,233,vishambhar prasad nishad,  22
