,session_no,question_by,question_type,question_count
208,219Part1,SHRI N.R. GOVINDARAJAR,UNSTARRED,11
209,219Part1,SHRI NAND KISHORE YADAV,STARRED,3
210,219Part1,SHRI NAND KISHORE YADAV,UNSTARRED,12
211,219Part1,SHRI NANDI YELLAIAH,UNSTARRED,18
212,219Part1,SHRI NATUJI HALAJI THAKOR,STARRED,4
213,219Part1,SHRI NATUJI HALAJI THAKOR,UNSTARRED,16
214,219Part1,SHRI P.R. RAJAN,STARRED,1
215,219Part1,SHRI P.R. RAJAN,UNSTARRED,12
216,219Part1,SHRI PENUMALLI MADHU,STARRED,4
217,219Part1,SHRI PENUMALLI MADHU,UNSTARRED,35
218,219Part1,SHRI PERVEZ HASHMI,STARRED,3
219,219Part1,SHRI PERVEZ HASHMI,UNSTARRED,5
220,219Part1,SHRI PRASANTA CHATTERJEE,UNSTARRED,9
221,219Part1,SHRI R.C. SINGH,STARRED,2
222,219Part1,SHRI R.C. SINGH,UNSTARRED,37
223,219Part1,SHRI RAGHUNANDAN SHARMA,UNSTARRED,14
224,219Part1,SHRI RAHUL BAJAJ,STARRED,2
225,219Part1,SHRI RAHUL BAJAJ,UNSTARRED,5
226,219Part1,SHRI RAJ MOHINDER SINGH MAJITHA,STARRED,2
227,219Part1,SHRI RAJ MOHINDER SINGH MAJITHA,UNSTARRED,15
228,219Part1,SHRI RAJNITI PRASAD,UNSTARRED,13
229,219Part1,SHRI RAMA CHANDRA KHUNTIA,STARRED,2
230,219Part1,SHRI RAMA CHANDRA KHUNTIA,UNSTARRED,27
231,219Part1,SHRI RAMDAS AGARWAL,STARRED,3
232,219Part1,SHRI RAMDAS AGARWAL,UNSTARRED,21
233,219Part1,SHRI RANJITSINH VIJAYSINH MOHITE PATIL,STARRED,3
234,219Part1,SHRI RANJITSINH VIJAYSINH MOHITE PATIL,UNSTARRED,15
235,219Part1,SHRI RUDRA NARAYAN PANY,STARRED,1
236,219Part1,SHRI RUDRA NARAYAN PANY,UNSTARRED,23
237,219Part1,SHRI S. ANBALAGAN,STARRED,2
238,219Part1,SHRI S. ANBALAGAN,UNSTARRED,7
239,219Part1,SHRI S.S. AHLUWALIA,STARRED,3
240,219Part1,SHRI S.S. AHLUWALIA,UNSTARRED,21
241,219Part1,SHRI SABIR ALI,STARRED,3
242,219Part1,SHRI SABIR ALI,UNSTARRED,19
243,219Part1,SHRI SAMAN PATHAK,UNSTARRED,7
244,219Part1,SHRI SANJAY DALMIA,UNSTARRED,1
245,219Part1,SHRI SANTOSH BAGRODIA,STARRED,2
246,219Part1,SHRI SANTOSH BAGRODIA,UNSTARRED,12
247,219Part1,SHRI SHANTA KUMAR,UNSTARRED,2
248,219Part1,SHRI SHARAD ANANTRAO JOSHI,UNSTARRED,2
249,219Part1,SHRI SHIVANAND TIWARI,STARRED,1
250,219Part1,SHRI SHIVANAND TIWARI,UNSTARRED,15
251,219Part1,SHRI SHREEGOPAL VYAS,STARRED,5
252,219Part1,SHRI SHREEGOPAL VYAS,UNSTARRED,30
253,219Part1,SHRI SHYAMAL CHAKRABORTY,UNSTARRED,10
254,219Part1,SHRI SILVIUS CONDPAN,STARRED,1
255,219Part1,SHRI SILVIUS CONDPAN,UNSTARRED,6
256,219Part1,SHRI SYED AZEEZ PASHA,STARRED,2
257,219Part1,SHRI SYED AZEEZ PASHA,UNSTARRED,37
258,219Part1,SHRI T.T.V. DHINAKARAN,UNSTARRED,17
259,219Part1,SHRI TARINI KANTA ROY,STARRED,1
260,219Part1,SHRI TARINI KANTA ROY,UNSTARRED,1
261,219Part1,SHRI TARIQ ANWAR,STARRED,1
262,219Part1,SHRI TARIQ ANWAR,UNSTARRED,21
263,219Part1,SHRI TARLOCHAN SINGH,STARRED,1
264,219Part1,SHRI TARLOCHAN SINGH,UNSTARRED,15
265,219Part1,SHRI THOMAS SANGMA,STARRED,1
266,219Part1,SHRI THOMAS SANGMA,UNSTARRED,5
267,219Part1,SHRI VARINDER SINGH BAJWA,STARRED,2
268,219Part1,SHRI VARINDER SINGH BAJWA,UNSTARRED,21
269,219Part1,SHRI VASANTHI STANLEY,UNSTARRED,2
270,219Part1,SHRI VIJAYKUMAR RUPANI,STARRED,2
271,219Part1,SHRI VIJAYKUMAR RUPANI,UNSTARRED,18
272,219Part1,SHRIMATI BRINDA KARAT,STARRED,2
273,219Part1,SHRIMATI BRINDA KARAT,UNSTARRED,4
274,219Part1,SHRIMATI MAYA SINGH,STARRED,2
275,219Part1,SHRIMATI MAYA SINGH,UNSTARRED,28
276,219Part1,SHRIMATI RENUBALA PRADHAN,STARRED,1
277,219Part1,SHRIMATI RENUBALA PRADHAN,UNSTARRED,7
278,219Part1,SHRIMATI SHOBHANA BHARTIA,STARRED,4
279,219Part1,SHRIMATI SHOBHANA BHARTIA,UNSTARRED,26
280,219Part1,SHRIMATI T. RATNA BAI,STARRED,1
281,219Part1,SHRIMATI T. RATNA BAI,UNSTARRED,38
282,219Part1,SHRIMATI VANGA GEETHA,UNSTARRED,1
283,219Part1,SMT. JAYANTHI NATARAJAN,UNSTARRED,29
284,219Part1,Shri Abdul Wahab,STARRED,1
285,219Part1,Shri Abdul Wahab,UNSTARRED,9
286,219Part1,Shri Ali Anwar Ansari,UNSTARRED,1
287,219Part1,Shri Amar Singh,STARRED,3
288,219Part1,Shri Amar Singh,UNSTARRED,25
289,219Part1,Shri Ambeth Rajan,STARRED,2
290,219Part1,Shri Ambeth Rajan,UNSTARRED,8
291,219Part1,Shri B.K. Hariprasad,STARRED,3
292,219Part1,Shri B.K. Hariprasad,UNSTARRED,24
293,219Part1,Shri Brijlal Khabri,STARRED,4
294,219Part1,Shri Brijlal Khabri,UNSTARRED,28
295,219Part1,Shri D. Raja,STARRED,7
296,219Part1,Shri D. Raja,UNSTARRED,24
297,219Part1,Shri Dhiraj Prasad Sahu,STARRED,2
298,219Part1,Shri Dhiraj Prasad Sahu,UNSTARRED,10
299,219Part1,Shri G. N. Ratanpuri,STARRED,2
300,219Part1,Shri G. N. Ratanpuri,UNSTARRED,5
301,219Part1,Shri Kaptan Singh Solanki,STARRED,2
302,219Part1,Shri Kaptan Singh Solanki,UNSTARRED,22
303,219Part1,Shri Khekiho Zhimomi,UNSTARRED,3
304,219Part1,Shri Lalhming Liana,UNSTARRED,3
305,219Part1,Shri M.P. Achuthan,STARRED,2
306,219Part1,Shri M.P. Achuthan,UNSTARRED,14
307,219Part1,Shri Mohammed Adeeb,STARRED,3
308,219Part1,Shri Mohammed Adeeb,UNSTARRED,24
309,219Part1,Shri Mohd. Ali Khan,STARRED,4
310,219Part1,Shri Mohd. Ali Khan,UNSTARRED,36
311,219Part1,Shri Motilal Vora,STARRED,5
312,219Part1,Shri Motilal Vora,UNSTARRED,15
313,219Part1,Shri Nand Kumar Sai,STARRED,2
314,219Part1,Shri Nand Kumar Sai,UNSTARRED,19
315,219Part1,Shri Om Prakash Mathur,STARRED,1
316,219Part1,Shri Om Prakash Mathur,UNSTARRED,7
317,219Part1,Shri P. Rajeeve,STARRED,4
318,219Part1,Shri P. Rajeeve,UNSTARRED,28
319,219Part1,Shri Parimal Nathwani,UNSTARRED,28
320,219Part1,Shri Parshottam Rupala,UNSTARRED,8
321,219Part1,Shri Parvez Hashmi,UNSTARRED,3
322,219Part1,Shri Prabhat Jha,STARRED,4
323,219Part1,Shri Prabhat Jha,UNSTARRED,37
324,219Part1,Shri Prakash Javadekar,STARRED,2
325,219Part1,Shri Prakash Javadekar,UNSTARRED,22
326,219Part1,Shri Pyarimohan Mohapatra,UNSTARRED,6
327,219Part1,Shri Rajeev Chandrasekhar,STARRED,3
328,219Part1,Shri Rajeev Chandrasekhar,UNSTARRED,30
329,219Part1,Shri Rajeev Shukla,STARRED,4
330,219Part1,Shri Rajeev Shukla,UNSTARRED,14
331,219Part1,Shri Rajiv Pratap Rudy,STARRED,3
332,219Part1,Shri Rajiv Pratap Rudy,UNSTARRED,28
333,219Part1,Shri Rajkumar Dhoot,STARRED,3
334,219Part1,Shri Rajkumar Dhoot,UNSTARRED,27
335,219Part1,Shri Ravi Shankar Prasad,STARRED,3
336,219Part1,Shri Ravi Shankar Prasad,UNSTARRED,15
337,219Part1,Shri Sanjay Raut,STARRED,3
338,219Part1,Shri Sanjay Raut,UNSTARRED,24
339,219Part1,Shri Satyavrat Chaturvedi,STARRED,3
340,219Part1,Shri Satyavrat Chaturvedi,UNSTARRED,17
341,219Part1,Shri Shantaram Naik,STARRED,5
342,219Part1,Shri Shantaram Naik,UNSTARRED,23
343,219Part1,Shri Sitaram Yechury,STARRED,3
344,219Part1,Shri Sitaram Yechury,UNSTARRED,17
